,Sensor_ID,Neighbor_Type,k,MAE_15mins,RMSE_15mins,MAE_30mins,RMSE_30mins,MAE_60mins,RMSE_60mins
2484,767523,DTW,2,2.5777987826108304,8.530275615155059,3.4044128678272996,11.088145590153058,4.646380428971977,13.988224499684614
2485,767523,DTW,3,2.559650571545967,8.506248024545759,3.3893424134561942,11.09545054580992,4.640067590798867,13.999816043147268
2486,767523,DTW,4,2.5586700720349596,8.501121119703841,3.384050558049942,11.097422972202564,4.625832021160905,13.99856095074627
2487,767523,DTW,5,2.5517019281617164,8.491856927087596,3.3726057070216107,11.093470526089032,4.613992508635451,13.989585559599146
2488,716942,DTW,1,4.932800717273604,11.133991266933458,6.6449225395051625,14.245712643508442,9.28394726278254,17.974273530788597
2489,716942,DTW,2,4.901278543384394,11.074428288729576,6.592891947718084,14.117202579497791,9.195923433085698,17.731786587023915
2490,716942,DTW,3,4.884877736695334,11.029904382686924,6.555763468847306,14.03429275560685,9.156355100363072,17.64366662492746
2491,716942,DTW,4,4.879743123662856,11.030449419408573,6.555188862643488,14.031181884087845,9.154320350491691,17.637093723130494
2492,716942,DTW,5,4.878589283587879,11.027076815749137,6.556738351927038,14.026922209883837,9.143445254534253,17.62822622723166
2493,718090,DTW,1,5.00029535004838,10.969571118528766,6.7305674818703265,14.12322761752843,9.397047952880174,17.862787278293553
2494,718090,DTW,2,4.984635515289541,10.923246542949617,6.701691225379212,14.023378530331954,9.303565060763958,17.736668290301473
2495,718090,DTW,3,4.979194873983226,10.906085222824284,6.677800007275266,13.985960866416683,9.239511816984361,17.630104520926213
2496,718090,DTW,4,4.98161344182583,10.902570869977062,6.67993442499455,13.981881864065965,9.23417930001058,17.613974871590408
2497,718090,DTW,5,4.974882812337029,10.886265204491485,6.6748410256929915,13.97572708993477,9.222594107053808,17.58660855547457
2498,769867,DTW,1,4.418207140147072,8.930531506471215,5.250567640501946,10.953874808573564,6.51881689344063,13.463638315249828
2499,769867,DTW,2,4.394310222855822,8.887145065555279,5.220311168215585,10.928890941167966,6.501988843088054,13.466053518586126
2500,769867,DTW,3,4.3710661605075956,8.831667745899209,5.174979606074289,10.879163161936928,6.453583902819552,13.435300984598046
2501,769867,DTW,4,4.3683505038551385,8.799679565435902,5.189012279603765,10.888254156705356,6.506960634083263,13.48231256388445
2502,769867,DTW,5,4.3540007346972995,8.79448033977707,5.162592560587025,10.877503077834003,6.457989334645558,13.449528438274212
2503,717472,DTW,1,6.498504860563393,15.61940350196347,8.642886133818807,18.357968595048238,11.95672623603462,22.57208955885311
2504,717472,DTW,2,6.493481990024838,15.577488967962749,8.628124919496761,18.321035652652807,11.938903430549166,22.49673356294859
2505,717472,DTW,3,6.491633136612014,15.565345620479423,8.591664813023844,18.25561578139449,11.85252118872426,22.475097861733623
2506,717472,DTW,4,6.497339258345103,15.546533601164878,8.56282388897075,18.179519754626057,11.835192877788025,22.38387538985542
2507,717472,DTW,5,6.478025998173164,15.53881605733089,8.55817380122783,18.165418854966923,11.80904944154298,22.402737087069536
2508,717473,DTW,1,3.5770215184977925,9.252604356896166,4.926027987273995,12.311078948138535,7.038830451438608,15.975145326658962
2509,717473,DTW,2,3.5573495301849656,9.221408269446679,4.861350984544524,12.242698214632982,6.96233493182167,15.841548085446126
2510,717473,DTW,3,3.5003506629283936,9.17370030928027,4.788390619487753,12.178465992435008,6.894246664140032,15.77645506344637
2511,717473,DTW,4,3.4504100473795014,9.092647664209998,4.715712583228379,12.059952152128005,6.760648276646457,15.542464230605585
2512,717473,DTW,5,3.4388392608221627,9.09978212887116,4.714978660279705,12.064647423458233,6.772345958358374,15.56112034739608
2513,759591,DTW,1,3.5746228373821824,9.269669394867854,4.626108443449758,11.797978463046427,6.262682760637307,14.831620727596047
2514,759591,DTW,2,3.5558541538286272,9.248412893753168,4.616819917922902,11.778051027849441,6.245728862767326,14.826769216667385
2515,759591,DTW,3,3.543913185585897,9.230633525092925,4.632199855252047,11.764763933870269,6.325909506495164,14.759982704643518
2516,759591,DTW,4,3.544307157644336,9.222148382754344,4.628223744608229,11.766388688206721,6.334183687770643,14.768749159331167
2517,759591,DTW,5,3.554259920008115,9.204320019216949,4.630271517094969,11.723322387624403,6.33794740085941,14.696467715156501
2518,764781,DTW,1,4.533975139852454,9.790629033937792,6.223482214798779,13.015405165500345,8.957536693220918,16.877776309089935
2519,764781,DTW,2,4.5044733807638115,9.689764682867317,6.123735222869991,12.757516947920486,8.69670484307377,16.52528937170848
2520,764781,DTW,3,4.462751638865308,9.646844465306943,6.0951454048784575,12.72335622664113,8.660911147252907,16.484602700084388
2521,764781,DTW,4,4.459832357654819,9.645771160946415,6.0853570957048255,12.71660392214807,8.656405164007731,16.479254069093155
2522,764781,DTW,5,4.463368854327452,9.644749276746511,6.0917183279374285,12.724315492000565,8.674246611997738,16.503357697743443
2523,765099,DTW,1,4.29498006473855,8.77457247056436,5.698494355619888,11.403184376575348,7.904074901124591,14.335079425502396
2524,765099,DTW,2,4.279011850903204,8.75536943469399,5.683056055196799,11.403750034589388,7.89529441452151,14.413205117882567
2525,765099,DTW,3,4.2554539729316305,8.697425203750585,5.663262416365916,11.312825610254002,7.863272239691297,14.407995528027609
2526,765099,DTW,4,4.151103728819957,8.504806902178208,5.556198927891731,11.146279991853826,7.811603554511843,14.346398066756818
2527,765099,DTW,5,4.141486988755311,8.504326489360146,5.52531240294307,11.1376323103694,7.729176463377035,14.327042179479468
2528,762329,DTW,1,3.1443969278217323,10.418254602716617,4.089661400837324,13.074242521124416,5.570693622394232,16.242104623151214
2529,762329,DTW,2,3.286128947899828,10.24835027375016,4.2743342229984504,12.950778156392255,5.606259681379082,16.145322612188824
2530,762329,DTW,3,3.2916165093436485,10.213314033567453,4.241575321797441,12.888319937982175,5.579550932682105,16.07642595078112
2531,762329,DTW,4,3.27410061308976,10.21211069919657,4.242350083103263,12.861117995433094,5.641455838912499,15.989190718429745
2532,762329,DTW,5,3.2982737816776115,10.214709061689458,4.330475635541643,12.881582052494446,5.9276851812032065,15.909544782291551
2533,716953,DTW,1,4.342623230758217,8.964070923815266,5.5631338383413595,11.390329618329663,7.423934504473627,14.36571016452075
2534,716953,DTW,2,4.329437375254469,8.948019384067027,5.535336854277434,11.367444146808994,7.382977615577719,14.345489997855598
2535,716953,DTW,3,4.325815039475004,8.94683284582019,5.527246859442542,11.36420916494583,7.378646326294937,14.34233172321269
2536,716953,DTW,4,4.302938105238152,8.917601705948154,5.498241084666372,11.337876276490032,7.3518379733120724,14.311550648785387
2537,716953,DTW,5,4.297146868131547,8.907633734704836,5.481579791023902,11.315174348607263,7.342944757574234,14.279891890332445
2538,716951,DTW,1,4.29545444043333,10.224220114258479,6.029619930965459,13.623024937894456,8.668537997581915,17.588130275315887
2539,716951,DTW,2,4.296276508845415,10.223265869296604,6.035808674782697,13.612566052397463,8.72130168081133,17.535997346546228
2540,716951,DTW,3,4.290850366964797,10.218457926951846,6.035587666511329,13.6048568170208,8.735284923245128,17.51174321019467
2541,716951,DTW,4,4.287908308258494,10.212834165050703,6.0520179008357085,13.58832435514524,8.768357859491033,17.443891661142217
