,Sensor_ID,Method,MAE_15mins,RMSE_15mins,MAE_30mins,RMSE_30mins,MAE_60mins,RMSE_60mins
1496,717458,Without Augmentation,5.557828728610441,9.754961247539239,7.964025646039454,12.874482876715375,11.762754996848326,16.82682206622336
1497,717458,DCT,5.558049934333226,9.754758419662656,7.963464061408872,12.872670997378911,11.763070212375949,16.827010217465556
1498,717458,Add Noise,5.600294171853612,9.778582606265283,8.009116191761668,12.895801607260925,11.811163344478352,16.837216591894336
1499,717458,Time Warp,5.562955051162938,9.75607195311533,7.9625147482163925,12.875243466177984,11.766940153930292,16.82517295676008
1500,717458,Reverse,8.368234504919446,12.405500043930454,9.875516384167968,14.783783720972629,12.27821837643625,18.24275752429591
1501,717458,Drift,5.596303114243974,9.76409425658608,8.000646271949906,12.879293569092091,11.796447495673736,16.824506681226904
1502,717458,Pool,5.567775768374374,9.743442931155764,7.96698232265282,12.85636048554361,11.764519106011997,16.819699638743902
1503,717458,Drop,5.54546632756671,9.748551380346585,7.95551687754694,12.870924400342258,11.75938961840725,16.831179934820543
1504,717459,Without Augmentation,4.739380951746464,9.510839377243004,6.371675194152956,12.044766239089832,8.696778503602248,14.997680296696984
1505,717459,DCT,4.738349805361766,9.509516434123661,6.371192578328134,12.044209118684273,8.69719365237569,14.99794880150739
1506,717459,Add Noise,4.77554317589731,9.543772624291107,6.40430939913919,12.066362596986865,8.719516560238027,15.00874066305274
1507,717459,Time Warp,4.7391006002318194,9.490746588890088,6.389323617871114,12.040172280561128,8.703412463441444,14.998075328336865
1508,717459,Reverse,6.3513734446459935,11.176418663793061,7.431954467742216,13.184012106815427,9.150983897114726,16.1047931399812
1509,717459,Drift,4.773478607292441,9.521330578370263,6.399019587428934,12.04956075687054,8.715009367144964,15.00009339352945
1510,717459,Pool,4.749284958043353,9.515110190964123,6.377716383624059,12.043089427870981,8.706404817067288,15.001025303306912
1511,717459,Drop,4.733003746824315,9.509461926315671,6.366775259452587,12.045289192505004,8.695478649349251,14.999372075890307
1512,769926,Without Augmentation,4.0789833073963235,9.60002863656843,5.5374168809818425,12.353508513749205,7.769947681536705,15.565238548943785
1513,769926,DCT,4.078693989361251,9.600879602679973,5.5374159754403545,12.353167039815583,7.770020148222276,15.563797442472525
1514,769926,Add Noise,4.119003051520062,9.649213584852182,5.572187487960433,12.382030962980393,7.794098848044906,15.579179514309835
1515,769926,Time Warp,4.082121262518329,9.569059088167291,5.556836386251857,12.367590353141605,7.779580683454785,15.569632925684262
1516,769926,Reverse,5.449613877147914,11.192773156332098,6.537104569693291,13.531062664571543,8.354391064316275,16.903955083417685
1517,769926,Drift,4.117501141416558,9.613448654367897,5.571452632585831,12.361815179096455,7.799537435790589,15.57321082410441
1518,769926,Pool,4.078085881703293,9.58747490931975,5.538548286462353,12.345458014695863,7.772729010430571,15.563098778738743
1519,769926,Drop,4.069372293146206,9.5964318611755,5.5284942128135715,12.352098323331777,7.763778928731696,15.56154841933327
1520,764858,Without Augmentation,5.756714160679571,10.796063369967378,7.385077062440747,13.202193441072563,9.593206302178785,15.770089603957869
1521,764858,DCT,5.756234786751279,10.793901797818235,7.3869630460366755,13.203794394176462,9.593732495049844,15.770083665800476
1522,764858,Add Noise,5.797018973211268,10.81762073510911,7.412062997253918,13.207706404839216,9.61611918507765,15.780058667453273
1523,764858,Time Warp,5.7637576261408885,10.793098753386746,7.405341403743633,13.211401969594021,9.602991418216934,15.773324549409784
1524,764858,Reverse,7.105581593899979,12.01025629889439,8.240225586047131,14.104970384589736,9.85126573786183,16.99854688353961
1525,764858,Drift,5.7904046831541525,10.802708143127147,7.415519853636185,13.208188984978987,9.613884103232918,15.777340868723853
1526,764858,Pool,5.769993344060811,10.792350122285582,7.403597279091682,13.20960618172636,9.603583208951916,15.76825116959789
1527,764858,Drop,5.750737489591417,10.796710470100374,7.3800986407401385,13.201586003221388,9.59211141530407,15.767161501681935
1528,717450,Without Augmentation,5.750317499307538,9.070839313907143,7.360424090806764,11.283699159913573,9.785339943242631,14.044035343440076
